,Unnamed: 0,num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude
15,15,6,Jeudi 1 Août,ATHLETISME,ATH17,10:00,13:15,Stade de France,"Heptathlon - saut en longueur, femmes Relais 4 x 400 m - femmes, 1er tour Relais 4 x 400 m - hommes, 1er tour Heptathlon - lancer de javelot, femmes 800 m - hommes, demi-finales 100 m haies - femmes, demi-finales",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871
16,16,6,Jeudi 1 Août,ATHLETISME,ATH17,19:00,22:30,Stade de France,,Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871
18,18,6,Jeudi 1 Août,ATHLETISME,ATH19,18:30,22:30,Stade de France,,Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871
20,20,6,Jeudi 1 Août,AVIRON,ROW01,09:00,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, éliminatoires Skiff - femmes, éliminatoires Deux de couple - hommes, éliminatoires Deux de couple - femmes, éliminatoires Quatre de couple - hommes, éliminatoires Quatre de couple - femmes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
21,21,6,Jeudi 1 Août,AVIRON,ROW02,09:00,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, repêchages Skiff - hommes, repêchages Deux de couple - femmes, repêchage Deux de couple - hommes, repêchage Deux de pointe sans barreur - femmes, éliminatoires Deux de pointe sans barreur - hommes, éliminatoires Deux de couple poids léger - femmes, éliminatoires Deux de couple poids léger - hommes, éliminatoires Quatre de pointe sans barreur - femmes, éliminatoires Quatre de pointe sans barreur - hommes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
22,22,6,Jeudi 1 Août,AVIRON,ROW03,09:30,12:20,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, demi-finales E/F Skiff - femmes, demi-finales E/F Deux de pointe sans barreur - hommes, repêchage Deux de pointe sans barreur - femmes, repêchage Deux de couple poids léger - hommes, repêchages Deux de couple poids léger - femmes, repêchages Quatre de couple - hommes, repêchage Quatre de couple - femmes, repêchage Huit de pointe avec barreur - hommes, éliminatoires Huit de pointe avec barreur - femmes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
23,23,6,Jeudi 1 Août,AVIRON,ROW04,09:30,11:50,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, quarts de finale Skiff - hommes, quarts de finale Deux de couple - femmes, demi-finales Deux de couple - hommes, demi-finales Quatre de pointe sans barreur - femmes, repêchage Quatre de pointe sans barreur - hommes, repêchage",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
24,24,6,Jeudi 1 Août,AVIRON,ROW05,09:30,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Deux de couple poids léger - femmes, finale C Deux de couple poids léger - hommes, finale C Skiff - hommes, demi-finales C/D Skiff - femmes, demi-finales C/D Deux de pointe sans barreur - hommes, demi-finales Deux de pointe sans barreur - femmes, demi-finales Deux de couple poids léger - hommes, demi-finales Deux de couple poids léger - femmes, demi-finales Quatre de couple - hommes, finale B Quatre de couple - femmes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
25,25,6,Jeudi 1 Août,AVIRON,ROW06,09:30,12:40,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, demi-finales A/B Skiff - hommes, demi-finales A/B Huit de pointe avec barreur - femmes, repêchage Huit de pointe avec barreur - hommes, repêchage Deux de couple - femmes, finale B Deux de couple - hommes, finale B Quatre de pointe sans barreur - femmes, finale B Quatre de pointe sans barreur - hommes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
26,26,6,Jeudi 1 Août,AVIRON,ROW07,09:30,12:50,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, finale F Skiff - femmes, finale F Skiff - hommes, finale E Skiff - femmes, finale E Skiff - hommes, finale D Skiff - femmes, finale D Deux de pointe sans barreur - hommes, finale B Deux de pointe sans barreur - femmes, finale B Deux de couple poids léger - hommes, finale B Deux de couple poids léger - femmes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
27,27,6,Jeudi 1 Août,AVIRON,ROW08,09:30,11:40,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, finale C Skiff - hommes, finale C Skiff - femmes, finale B Skiff - hommes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
28,28,1,Samedi 27 Juillet,BADMINTON,BDM01,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
29,29,1,Samedi 27 Juillet,BADMINTON,BDM01,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
30,30,1,Samedi 27 Juillet,BADMINTON,BDM01,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
31,31,1,Samedi 27 Juillet,BADMINTON,BDM04,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
32,32,1,Samedi 27 Juillet,BADMINTON,BDM04,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double femmes, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
33,33,1,Samedi 27 Juillet,BADMINTON,BDM04,19:30,23:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
34,34,1,Samedi 27 Juillet,BADMINTON,BDM07,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
35,35,1,Samedi 27 Juillet,BADMINTON,BDM07,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double femmes, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
36,36,1,Samedi 27 Juillet,BADMINTON,BDM07,19:30,23:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
37,37,1,Samedi 27 Juillet,BADMINTON,BDM10,08:30,12:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
38,38,1,Samedi 27 Juillet,BADMINTON,BDM10,14:00,17:30,Arena Porte de La Chapelle,"Double hommes, poules préliminaires Double femmes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
39,39,1,Samedi 27 Juillet,BADMINTON,BDM10,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
40,40,1,Samedi 27 Juillet,BADMINTON,BDM13,08:30,12:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
41,41,1,Samedi 27 Juillet,BADMINTON,BDM13,14:00,17:30,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
42,42,1,Samedi 27 Juillet,BADMINTON,BDM13,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires Double mixte, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
43,43,1,Samedi 27 Juillet,BADMINTON,BDM16,08:30,11:00,Arena Porte de La Chapelle,"Double femmes, quarts de finale Simple hommes, 8e de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
44,44,1,Samedi 27 Juillet,BADMINTON,BDM16,13:00,16:30,Arena Porte de La Chapelle,"Double hommes, quarts de finale Simple hommes, 8e de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
45,45,1,Samedi 27 Juillet,BADMINTON,BDM16,18:30,22:00,Arena Porte de La Chapelle,"Simple femmes, 8e de finale Double mixte, demi-finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
46,46,1,Samedi 27 Juillet,BADMINTON,BDM19,08:30,13:00,Arena Porte de La Chapelle,"Double femmes, demi-finale Double hommes, demi-finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
47,47,1,Samedi 27 Juillet,BADMINTON,BDM19,15:00,22:30,Arena Porte de La Chapelle,"Double mixte, match bronze Simple hommes, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
48,48,1,Samedi 27 Juillet,BADMINTON,BDM21,08:30,13:00,Arena Porte de La Chapelle,"Simple femmes, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
49,49,1,Samedi 27 Juillet,BADMINTON,BDM21,15:00,17:30,Arena Porte de La Chapelle,"Double femmes, match bronze",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
50,50,1,Samedi 27 Juillet,BADMINTON,BDM23,08:30,13:00,Arena Porte de La Chapelle,"Simple femmes, demi-finales Simple hommes, demi-finales",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
51,51,1,Samedi 27 Juillet,BADMINTON,BDM23,15:00,17:30,Arena Porte de La Chapelle,"Double hommes, match bronze Double hommes, match or",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
52,52,1,Samedi 27 Juillet,BADMINTON,BDM25,09:45,12:30,Arena Porte de La Chapelle,"Simple femmes, match bronze Simple femmes, match or",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
53,53,1,Samedi 27 Juillet,BADMINTON,BDM25,14:30,17:30,Arena Porte de La Chapelle,"Simple hommes, match bronze Simple hommes, match or *En attente de la décision finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803
114,114,4,Mardi 30 Juillet,BMX RACING,BMX01,20:00,22:20,Stade BMX de Saint-Quentin-en-Yvelines,"Hommes, quarts de finale Femmes, quarts de finale Hommes, tour de la dernière chance Femmes, tour de la dernière chance",Stade BMX de Saint-Quentin-en-Yvelines,"48.787261, 2.034736",Site olympique,BMX race,48.787261,2.034736
115,115,4,Mardi 30 Juillet,BMX RACING,BMX02,20:00,22:30,Stade BMX de Saint-Quentin-en-Yvelines,"Hommes, demi-finales Femmes, demi-finales",Stade BMX de Saint-Quentin-en-Yvelines,"48.787261, 2.034736",Site olympique,BMX race,48.787261,2.034736
148,148,4,Mardi 30 Juillet,CANOE SLALOM,CSL01,15:00,19:10,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë - hommes, éliminatoires - manches 1 et 2 Kayak - femmes, éliminatoires - manches 1 et 2",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
149,149,4,Mardi 30 Juillet,CANOE SLALOM,CSL02,15:30,18:50,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak - femmes, demi-finale Kayak - femmes, finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
150,150,4,Mardi 30 Juillet,CANOE SLALOM,CSL03,15:30,18:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë - hommes, demi-finale Canoë - hommes, finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
151,151,4,Mardi 30 Juillet,CANOE SLALOM,CSL04,15:00,19:10,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë - femmes, éliminatoires - manches 1 et 2 Kayak - hommes, éliminatoires - manches 1 et 2",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
152,152,4,Mardi 30 Juillet,CANOE SLALOM,CSL05,15:30,18:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë - femmes, demi-finale Canoë - femmes, finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
153,153,4,Mardi 30 Juillet,CANOE SLALOM,CSL06,15:30,18:35,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak - hommes, demi-finale Kayak - hommes, finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
154,154,4,Mardi 30 Juillet,CANOE SLALOM,CSL07,15:30,19:15,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak Cross - femmes, contre-la-montre Kayak Cross - hommes, contre-la-montre Kayak Cross - femmes, Repêchage 1 Kayak Cross - hommes, Repêchage 1 Kayak Cross - femmes, Repêchage 2 Kayak Cross - hommes, Repêchage 2",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
155,155,4,Mardi 30 Juillet,CANOE SLALOM,CSL08,15:30,17:25,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak Cross - hommes, Eliminatoires Kayak Cross - femmes, Eliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
156,156,4,Mardi 30 Juillet,CANOE SLALOM,CSL09,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak Cross - femmes, quarts de finale Kayak Cross - hommes, quarts de finale Kayak Cross - femmes, demi-finales Kayak Cross - hommes, demi-finales Kayak Cross - femmes, petite finale Kayak Cross - hommes, petite finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
157,157,11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP01,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak à quatre (K4) 500 m - femmes, éliminatoires Kayak à quatre (K4) 500 m - hommes, éliminatoires Canoë biplace (C2) 500 m - hommes, éliminatoires Canoë biplace (C2) 500 m - femmes, éliminatoires Kayak biplace (K2) 500 m - femmes, éliminatoires Kayak biplace (K2) 500 m - hommes, éliminatoires Canoë biplace (C2) 500 m - hommes, quarts de finale Canoë biplace (C2) 500 m - femmes, quarts de finale Kayak biplace (K2) 500 m - femmes, quarts de finale Kayak biplace (K2) 500 m - hommes, quarts de finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
158,158,11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP02,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak monoplace (K1) 500 m - femmes, éliminatoires Kayak monoplace (K1) 1 000 m - hommes, éliminatoires Canoë monoplace (C1) 1 000 m - hommes, éliminatoires Kayak monoplace (K1) 500m - femmes, quarts de finale Kayak monoplace (K1) 1 000 m - hommes, quarts de finale Canoë monoplace (C1) 1 000 m - hommes, quarts de finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
159,159,11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP03,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë monoplace (C1) 200 m - femmes, éliminatoires Canoë biplace (C2) 500 m - hommes, demi-finales Kayak à quatre (K4) 500 m - femmes, demi-finales Kayak à quatre (K4) 500 m - hommes, demi-finales Canoë monoplace (C1) 200 m - femmes, quarts de finale Canoë biplace (C2) 500 m - hommes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
160,160,11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP04,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë biplace (C2) 500 m - femmes, demi-finales Kayak biplace (K2) 500 m - femmes, demi-finales Kayak biplace (K2) 500 m - hommes, demi-finales Canoë monoplace (C1) 1 000 m - hommes, demi-finales Canoë biplace (C2) 500 m - femmes, finale B Kayak biplace (K2) 500 m - femmes, finale B Kayak biplace (K2) 500 m - hommes, finale B Canoë monoplace (C1) 1 000 m - hommes,finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
161,161,11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP05,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak monoplace (K1) 500 m - femmes, demi-finales Kayak monoplace (K1) 1 000 m - hommes, demi-finales Canoë monoplace (C1) 200 m - femmes, demi-finales Kayak monoplace (K1) 500 m - femmes, finale C Kayak monoplace (K1) 500 m - femmes, finale B Kayak monoplace (K1) 1 000 m - hommes, finale B Canoë monoplace (C1) 200 m - femmes, finale B #C1-INTERNAL",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374
162,162,11,Mardi 6 Août,CYCLISME SUR PISTE,Début,15:30,20:20,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse par équipes - femmes, qualifications Poursuite équipes - hommes, qualifications Vitesse par équipes - femmes, 1er tour Vitesse par équipes - hommes, qualifications Vitesse par équipes - femmes, finales",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987
