num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,capacite
6,Jeudi 1 Août,ATHLETISME,ATH19,18:30,22:30,Stade de France,,Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,80000.0
6,Jeudi 1 Août,AVIRON,ROW01,09:00,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, éliminatoires Skiff - femmes, éliminatoires Deux de couple - hommes, éliminatoires Deux de couple - femmes, éliminatoires Quatre de couple - hommes, éliminatoires Quatre de couple - femmes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW02,09:00,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, repêchages Skiff - hommes, repêchages Deux de couple - femmes, repêchage Deux de couple - hommes, repêchage Deux de pointe sans barreur - femmes, éliminatoires Deux de pointe sans barreur - hommes, éliminatoires Deux de couple poids léger - femmes, éliminatoires Deux de couple poids léger - hommes, éliminatoires Quatre de pointe sans barreur - femmes, éliminatoires Quatre de pointe sans barreur - hommes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW03,09:30,12:20,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, demi-finales E/F Skiff - femmes, demi-finales E/F Deux de pointe sans barreur - hommes, repêchage Deux de pointe sans barreur - femmes, repêchage Deux de couple poids léger - hommes, repêchages Deux de couple poids léger - femmes, repêchages Quatre de couple - hommes, repêchage Quatre de couple - femmes, repêchage Huit de pointe avec barreur - hommes, éliminatoires Huit de pointe avec barreur - femmes, éliminatoires",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW04,09:30,11:50,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, quarts de finale Skiff - hommes, quarts de finale Deux de couple - femmes, demi-finales Deux de couple - hommes, demi-finales Quatre de pointe sans barreur - femmes, repêchage Quatre de pointe sans barreur - hommes, repêchage",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW05,09:30,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Deux de couple poids léger - femmes, finale C Deux de couple poids léger - hommes, finale C Skiff - hommes, demi-finales C/D Skiff - femmes, demi-finales C/D Deux de pointe sans barreur - hommes, demi-finales Deux de pointe sans barreur - femmes, demi-finales Deux de couple poids léger - hommes, demi-finales Deux de couple poids léger - femmes, demi-finales Quatre de couple - hommes, finale B Quatre de couple - femmes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW06,09:30,12:40,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, demi-finales A/B Skiff - hommes, demi-finales A/B Huit de pointe avec barreur - femmes, repêchage Huit de pointe avec barreur - hommes, repêchage Deux de couple - femmes, finale B Deux de couple - hommes, finale B Quatre de pointe sans barreur - femmes, finale B Quatre de pointe sans barreur - hommes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW07,09:30,12:50,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, finale F Skiff - femmes, finale F Skiff - hommes, finale E Skiff - femmes, finale E Skiff - hommes, finale D Skiff - femmes, finale D Deux de pointe sans barreur - hommes, finale B Deux de pointe sans barreur - femmes, finale B Deux de couple poids léger - hommes, finale B Deux de couple poids léger - femmes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
6,Jeudi 1 Août,AVIRON,ROW08,09:30,11:40,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - femmes, finale C Skiff - hommes, finale C Skiff - femmes, finale B Skiff - hommes, finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,14000.0
1,Samedi 27 Juillet,BADMINTON,BDM01,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
