num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,parsing_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,url,capacite
12,Mercredi 7 Août,Athletisme,ATH13,10:00,13:05,Stade de France,"Saut en hauteur - hommes, qualifications 100 m haies - femmes, 1er tour Lancer de javelot - femmes, qualifications 5 000 m - hommes, 1er tour 800 m - hommes, 1er tour 1 500 m - femmes, R","{""content"": [{""epreuve"": ""Saut en hauteur"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""100 m haies"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Lancer de javelot"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""5 000 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""800 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""1 500 m"", ""genre"": ""femmes"", ""etape"": ""R""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
12,Mercredi 7 Août,Athletisme,ATH14,18:30,22:00,Stade de France,"110 m haies - hommes, demi-finales Triple saut - hommes, qualifications 400 m haies - hommes, demi-finales 200 m - hommes, demi-finales 400 m - femmes, demi-finales 3 000 m steeple - hommes, finale","{""content"": [{""epreuve"": ""110 m haies"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""Triple saut"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""400 m haies"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""200 m"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""400 m"", ""genre"": ""femmes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""3 000 m steeple"", ""genre"": ""hommes"", ""etape"": ""finale""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
13,Jeudi 8 Août,Athletisme,ATH15,10:00,13:00,Stade de France,"Heptathlon - 100 m haies, femmes Lancer de poids - femmes, qualifications 100 m haies - femmes, Repêchages Heptathlon - saut en hauteur, femmes Relais 4 x 100 m - femmes, 1er tour Relais 4 x 100 m - hommes, 1er tour 800 m - hommes, Repêchages","{""content"": [{""epreuve"": ""Heptathlon"", ""genre"": ""100 m haies"", ""etape"": ""femmes ""}, {""epreuve"": ""Lancer de poids"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""100 m haies"", ""genre"": ""femmes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""Heptathlon"", ""genre"": ""saut en hauteur"", ""etape"": ""femmes ""}, {""epreuve"": ""Relais 4 x 100 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Relais 4 x 100 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""800 m"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
13,Jeudi 8 Août,Athletisme,ATH16,19:00,22:00,Stade de France,"Heptathlon - lancer de poids, femmes 1 500 m - femmes, demi-finales Heptathlon - 200 m, femmes","{""content"": [{""epreuve"": ""Heptathlon"", ""genre"": ""lancer de poids"", ""etape"": ""femmes ""}, {""epreuve"": ""1 500 m"", ""genre"": ""femmes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""Heptathlon"", ""genre"": ""200 m"", ""etape"": ""femmes""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
14,Vendredi 9 Août,Athletisme,ATH17,10:00,13:15,Stade de France,"Heptathlon - saut en longueur, femmes Relais 4 x 400 m - femmes, 1er tour Relais 4 x 400 m - hommes, 1er tour Heptathlon - lancer de javelot, femmes 800 m - hommes, demi-finales 100 m haies - femmes, demi-finales","{""content"": [{""epreuve"": ""Heptathlon"", ""genre"": ""saut en longueur"", ""etape"": ""femmes ""}, {""epreuve"": ""Relais 4 x 400 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Relais 4 x 400 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Heptathlon"", ""genre"": ""lancer de javelot"", ""etape"": ""femmes ""}, {""epreuve"": ""800 m"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""100 m haies"", ""genre"": ""femmes"", ""etape"": ""demi-finales""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
14,Vendredi 9 Août,Athletisme,ATH18,19:00,22:30,Stade de France,"Relais 4 x 100 m - femmes, finale Lancer de poids - femmes, finale Relais 4 x 100 m - hommes, finale 400 m - femmes, finale Triple saut - hommes, finale Heptathlon - 800 m, femmes 10 000 m - femmes, finale 400 m haies - hommes, finale","{""content"": [{""epreuve"": ""Relais 4 x 100 m"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""Lancer de poids"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""Relais 4 x 100 m"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""400 m"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""Triple saut"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""Heptathlon"", ""genre"": ""800 m"", ""etape"": ""femmes ""}, {""epreuve"": ""10 000 m"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""400 m haies"", ""genre"": ""hommes"", ""etape"": ""finale""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
15,Samedi 10 Août,Athletisme,ATH19,08:00,11:00,Hôtel de Ville (site de départ) - Invalides (site d'arrivée),"Marathon - hommes, finale","{""content"": [{""epreuve"": ""Marathon"", ""genre"": ""hommes"", ""etape"": ""finale""}]}",Hôtel de ville de Paris,"48.856858, 2.351415",Site olympique,Athlétisme,48.856858,2.351415,https://www.paris2024.org/fr/sport/Athletisme/,8000.0
15,Samedi 10 Août,Athletisme,ATH20,18:30,22:30,Stade de France,"Saut en hauteur - hommes, finale 800 m - hommes, finale Lancer de javelot - femmes, finale 100 m haies - femmes, finale 5 000 m - hommes, finale 1 500 m - femmes, finale Relais 4 x 400 m - hommes, finale Relais 4 x 400 m - femmes, finale","{""content"": [{""epreuve"": ""Saut en hauteur"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""800 m"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""Lancer de javelot"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""100 m haies"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""5 000 m"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""1 500 m"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""Relais 4 x 400 m"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""Relais 4 x 400 m"", ""genre"": ""femmes"", ""etape"": ""finale""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
15,Samedi 10 Août,Athletisme,ATH21,08:00,11:15,Hôtel de Ville (site de départ) - Invalides (site d'arrivée),"Marathon - femmes, finale","{""content"": [{""epreuve"": ""Marathon"", ""genre"": ""femmes"", ""etape"": ""finale""}]}",Hôtel de ville de Paris,"48.856858, 2.351415",Site olympique,Athlétisme,48.856858,2.351415,https://www.paris2024.org/fr/sport/Athletisme/,8000.0
1,Samedi 27 Juillet,Aviron,ROW01,09:00,13:10,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Skiff - hommes, éliminatoires Skiff - femmes, éliminatoires Deux de couple - hommes, éliminatoires Deux de couple - femmes, éliminatoires Quatre de couple - hommes, éliminatoires Quatre de couple - femmes, éliminatoires","{""content"": [{""epreuve"": ""Skiff"", ""genre"": ""hommes"", ""etape"": ""\u00e9liminatoires ""}, {""epreuve"": ""Skiff"", ""genre"": ""femmes"", ""etape"": ""\u00e9liminatoires ""}, {""epreuve"": ""Deux de couple"", ""genre"": ""hommes"", ""etape"": ""\u00e9liminatoires ""}, {""epreuve"": ""Deux de couple"", ""genre"": ""femmes"", ""etape"": ""\u00e9liminatoires ""}, {""epreuve"": ""Quatre de couple"", ""genre"": ""hommes"", ""etape"": ""\u00e9liminatoires ""}, {""epreuve"": ""Quatre de couple"", ""genre"": ""femmes"", ""etape"": ""\u00e9liminatoires""}]}",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,https://www.paris2024.org/fr/sport/Aviron/,14000.0
